鄉鎮市,大武鄉,大武鄉,太麻里鄉,太麻里鄉,成功鎮,成功鎮,池上鄉,池上鄉,卑南鄉,卑南鄉,延平鄉,延平鄉,東河鄉,東河鄉,金峰鄉,金峰鄉,長濱鄉,長濱鄉,海端鄉,海端鄉,鹿野鄉,鹿野鄉,達仁鄉,達仁鄉,綠島鄉,綠島鄉,臺東市,臺東市,關山鎮,關山鎮,蘭嶼鄉,蘭嶼鄉,總計,總計
性別,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
0-4歲,-71,60,-125,122,-132,117,-122,139,-226,207,-94,101,-64,72,-92,76,-63,63,-118,96,-79,75,-70,71,-49,54,-1756,1615,-82,111,-103,92,-3246,3071
5-9歲,-89,99,-135,125,-192,150,-115,79,-213,212,-80,89,-76,65,-82,81,-62,58,-97,87,-66,77,-56,56,-60,59,-2367,2124,-147,145,-133,106,-3970,3612
10-14歲,-79,97,-158,130,-211,179,-124,111,-228,227,-87,70,-108,88,-92,86,-72,66,-121,120,-72,74,-51,46,-59,60,-2645,2393,-168,159,-132,113,-4407,4019
15-19歲,-98,87,-251,160,-220,233,-118,109,-307,313,-87,99,-113,115,-97,87,-113,87,-166,147,-148,100,-94,71,-80,68,-2316,2196,-126,145,-129,119,-4463,4136
20-24歲,-158,147,-327,271,-311,249,-208,150,-478,440,-106,129,-163,167,-136,129,-139,123,-163,148,-185,180,-100,73,-118,102,-2773,2634,-187,168,-176,144,-5728,5254
25-29歲,-146,154,-326,315,-367,357,-209,240,-601,533,-159,135,-217,182,-158,138,-176,142,-178,176,-240,214,-135,106,-215,233,-3618,3371,-270,248,-246,257,-7261,6801
30-34歲,-187,136,-384,296,-424,318,-245,231,-592,522,-128,142,-208,160,-146,154,-189,143,-170,157,-220,197,-138,113,-253,216,-3735,3384,-283,217,-226,253,-7528,6639
35-39歲,-188,154,-314,270,-371,298,-211,188,-551,436,-116,93,-203,172,-128,113,-175,113,-181,159,-217,145,-127,111,-228,168,-3425,3083,-239,197,-208,232,-6882,5932
40-44歲,-240,193,-436,327,-472,428,-266,214,-560,514,-142,127,-311,222,-131,131,-241,151,-170,166,-246,201,-124,116,-207,137,-3745,3695,-267,226,-247,232,-7805,7080
45-49歲,-253,197,-416,381,-601,511,-290,271,-661,568,-179,138,-410,265,-123,132,-314,203,-166,157,-291,247,-171,134,-196,172,-3770,4005,-252,257,-209,235,-8302,7873
50-54歲,-231,177,-484,371,-532,452,-324,297,-742,620,-163,136,-428,264,-137,120,-328,225,-181,147,-298,235,-172,115,-200,150,-3660,4138,-311,266,-194,200,-8385,7913
55-59歲,-238,196,-498,385,-623,507,-350,273,-801,633,-155,123,-449,282,-134,143,-407,241,-149,139,-363,279,-158,144,-181,138,-4051,4088,-382,298,-183,168,-9122,8037
60-64歲,-257,222,-484,439,-654,527,-346,301,-804,712,-125,122,-429,301,-159,145,-442,270,-146,127,-380,287,-163,130,-135,123,-3785,4002,-369,288,-134,163,-8812,8159
65-69歲,-241,218,-387,380,-510,565,-305,279,-596,559,-85,81,-367,313,-117,140,-292,269,-109,114,-276,257,-136,127,-147,112,-3260,3506,-309,310,-135,117,-7272,7347
70-74歲,-154,185,-301,339,-445,472,-242,276,-475,525,-70,58,-292,303,-65,69,-218,244,-73,78,-243,252,-74,89,-88,76,-2456,3227,-247,255,-96,79,-5539,6527
75-79歲,-77,84,-168,243,-280,304,-168,197,-265,317,-32,41,-169,220,-31,37,-134,204,-31,30,-135,175,-35,58,-59,58,-1517,2045,-133,186,-29,46,-3263,4245
80-84歲,-38,61,-126,169,-174,199,-88,143,-144,239,-8,12,-95,155,-13,17,-113,137,-7,24,-98,124,-22,25,-28,28,-860,1335,-91,127,-15,21,-1920,2816
85-89歲,-17,48,-81,124,-95,135,-64,109,-102,171,-10,15,-49,101,-9,16,-55,93,-6,17,-65,97,-8,14,-17,22,-497,821,-71,116,-6,7,-1152,1906
90歲以上,-14,24,-54,64,-44,83,-45,81,-72,88,-1,10,-41,73,-9,16,-34,62,-1,6,-28,62,-3,7,-6,18,-321,414,-42,56,-9,13,-724,1077
